State,Annual Mean Wage (All Occupations),Median Monthly Rent,Value of a Dollar
Alabama,"$43,790 ",$998 ,$1.15 
Alaska,"$58,710 ","$1,748 ",$0.95 
Arizona,"$49,290 ","$1,356 ",$1.04 
Arkansas,"$41,540 ",$953 ,$1.15 
California,"$59,150 ","$2,518 ",$0.87 
Colorado,"$55,820 ","$1,927 ",$0.97 
Connecticut,"$60,780 ","$1,803 ",$0.92 
Delaware,"$53,320 ","$1,435 ",$1.00 
Florida,"$46,010 ","$1,590 ",$1.00 
Georgia,"$48,280 ","$1,262 ",$1.09 
Hawaii,"$52,900 ","$2,481 ",$0.84 
Idaho,"$43,480 ","$1,238 ",$1.08 
Illinois,"$53,790 ","$1,463 ",$1.01 
Indiana,"$45,290 ","$1,113 ",$1.11 
Iowa,"$46,150 ","$1,057 ",$1.11 
Kansas,"$45,280 ","$1,051 ",$1.10 
Kentucky,"$43,210 ","$1,084 ",$1.14 
Louisiana,"$42,660 ","$1,245 ",$1.11 
Maine,"$46,810 ","$1,466 ",$1.02 
Maryland,"$58,770 ","$1,807 ",$0.91 
Massachusetts,"$63,910 ","$2,252 ",$0.93 
Michigan,"$49,510 ","$1,110 ",$1.07 
Minnesota,"$54,200 ","$1,449 ",$1.03 
Mississippi,"$39,420 ","$1,055 ",$1.16 
Missouri,"$46,460 ","$1,047 ",$1.12 
Montana,"$43,860 ","$1,234 ",$1.06 
Nebraska,"$46,710 ","$1,253 ",$1.10 
Nevada,"$46,170 ","$1,423 ",$1.03 
New Hampshire,"$52,350 ","$1,748 ",$0.94 
New Jersey,"$58,210 ","$2,062 ",$0.88 
New Mexico,"$45,400 ","$1,200 ",$1.07 
New York,"$61,870 ","$2,050 ",$0.87 
North Carolina,"$47,200 ","$1,208 ",$1.10 
North Dakota,"$49,620 ","$1,290 ",$1.09 
Ohio,"$48,220 ","$1,113 ",$1.12 
Oklahoma,"$44,220 ",$950 ,$1.12 
Oregon,"$52,000 ","$1,707 ",$1.00 
Pennsylvania,"$50,030 ","$1,242 ",$1.02 
Rhode Island,"$54,810 ","$1,725 ",$1.00 
South Carolina,"$43,210 ","$1,209 ",$1.11 
South Dakota,"$41,800 ","$1,213 ",$1.13 
Tennessee,"$44,660 ","$1,153 ",$1.11 
Texas,"$49,720 ","$1,455 ",$1.03 
Utah,"$47,920 ","$1,526 ",$1.03 
Vermont,"$50,150 ","$1,599 ",$0.98 
Virginia,"$55,310 ","$1,452 ",$0.98 
Washington,"$59,410 ","$1,838 ",$0.95 
West Virginia,"$42,370 ",$888 ,$1.14 
Wisconsin,"$47,350 ","$1,141 ",$1.08 
Wyoming,"$48,630 ","$1,149 ",$1.03 
